ct,StateFIPS,CountyFIPS,TractCode,State,County,area
55079091200,55,079,091200,WI,Milwaukee County,2.36859734258
55079091300,55,079,091300,WI,Milwaukee County,1.72000389021
55079091400,55,079,091400,WI,Milwaukee County,0.80713951432
55079100100,55,079,100100,WI,Milwaukee County,0.86019858395
55079100200,55,079,100200,WI,Milwaukee County,1.96494936456
55079100300,55,079,100300,WI,Milwaukee County,0.78106576141
55079100400,55,079,100400,WI,Milwaukee County,1.38722665573
55079100500,55,079,100500,WI,Milwaukee County,1.13409705073
55079100600,55,079,100600,WI,Milwaukee County,0.69219726005
55079100700,55,079,100700,WI,Milwaukee County,1.69087615292
55079100800,55,079,100800,WI,Milwaukee County,2.63269428774
55079100900,55,079,100900,WI,Milwaukee County,3.80192129411
55079101000,55,079,101000,WI,Milwaukee County,4.16974779866
55079101100,55,079,101100,WI,Milwaukee County,1.34724968778
55079101200,55,079,101200,WI,Milwaukee County,1.34299508080
55079101300,55,079,101300,WI,Milwaukee County,1.35630163688
55079101400,55,079,101400,WI,Milwaukee County,1.34605811275
55079101500,55,079,101500,WI,Milwaukee County,1.04798395307
55079101600,55,079,101600,WI,Milwaukee County,1.45669558955
55079101700,55,079,101700,WI,Milwaukee County,0.93262899829
55079101800,55,079,101800,WI,Milwaukee County,1.53341788024
55079110100,55,079,110100,WI,Milwaukee County,2.89177609084
55079120101,55,079,120101,WI,Milwaukee County,5.36621727605
55079120102,55,079,120102,WI,Milwaukee County,5.22140314800
55079120201,55,079,120201,WI,Milwaukee County,1.86109130827
55079120202,55,079,120202,WI,Milwaukee County,1.78842313912
55079120203,55,079,120203,WI,Milwaukee County,3.23334322896
55079120300,55,079,120300,WI,Milwaukee County,0.88581126286
55079120400,55,079,120400,WI,Milwaukee County,4.80570895544
55079120501,55,079,120501,WI,Milwaukee County,2.60137468078
55079120502,55,079,120502,WI,Milwaukee County,4.06019425738
55079130100,55,079,130100,WI,Milwaukee County,5.49472655217
55079130200,55,079,130200,WI,Milwaukee County,2.79620430656
55079140100,55,079,140100,WI,Milwaukee County,5.64807845740
55079140201,55,079,140201,WI,Milwaukee County,4.65650766907
55079140202,55,079,140202,WI,Milwaukee County,4.13434799218
55079150100,55,079,150100,WI,Milwaukee County,13.39599099390
55079150301,55,079,150301,WI,Milwaukee County,15.98607443910
55079150303,55,079,150303,WI,Milwaukee County,6.64540756142
55079150304,55,079,150304,WI,Milwaukee County,7.09489079445
55079160100,55,079,160100,WI,Milwaukee County,16.96307005420
55079160202,55,079,160202,WI,Milwaukee County,12.61379635150
55079160203,55,079,160203,WI,Milwaukee County,9.05763285863
55079160204,55,079,160204,WI,Milwaukee County,5.10737855861
55079160300,55,079,160300,WI,Milwaukee County,32.98714852700
55079170100,55,079,170100,WI,Milwaukee County,4.93890253826
55079170200,55,079,170200,WI,Milwaukee County,2.29817836916
55079170300,55,079,170300,WI,Milwaukee County,1.28293667309
55079170400,55,079,170400,WI,Milwaukee County,1.56109515035
55079170500,55,079,170500,WI,Milwaukee County,0.88304073985
55079170600,55,079,170600,WI,Milwaukee County,1.48857404074
55079170700,55,079,170700,WI,Milwaukee County,2.20499772372
55079180100,55,079,180100,WI,Milwaukee County,4.48688170891
55079180200,55,079,180200,WI,Milwaukee County,1.13651965593
55079180300,55,079,180300,WI,Milwaukee County,3.82753609506
55079180400,55,079,180400,WI,Milwaukee County,1.66813381225
55079180500,55,079,180500,WI,Milwaukee County,3.12203499466
55079185100,55,079,185100,WI,Milwaukee County,5.38192933505
55079185200,55,079,185200,WI,Milwaukee County,3.02252037541
55079185300,55,079,185300,WI,Milwaukee County,7.30756445253
55079185400,55,079,185400,WI,Milwaukee County,0.71283916008
55079185500,55,079,185500,WI,Milwaukee County,0.88385260009
55079185600,55,079,185600,WI,Milwaukee County,0.67608491143
55079185700,55,079,185700,WI,Milwaukee County,0.66918462905
55079185800,55,079,185800,WI,Milwaukee County,0.43914277652
55079185900,55,079,185900,WI,Milwaukee County,0.48239381879
55079186000,55,079,186000,WI,Milwaukee County,0.58248497702
